#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
436,Drew Hutchison,DET,3,9,0,28,18,105.1,5.81,3.59,1.28,.294,73.0%,40.3%,11.4%,92.7,4.53,5.38,4.93,4.93,0.1
133,Graham Ashcraft,CIN,5,6,0,19,19,105.0,6.09,2.57,0.94,.314,67.8%,54.5%,12.5%,97.3,4.89,4.02,4.21,4.09,1.3
113,Adrian Sampson,CHC,4,5,0,21,19,104.1,6.30,2.33,0.86,.288,77.6%,40.0%,7.7%,92.6,3.11,4.40,3.79,4.39,1.5
839,Jon Heasley,KCR,4,10,0,21,21,104.0,6.06,4.07,1.64,.276,69.9%,37.2%,12.3%,93.3,5.28,5.35,5.67,5.49,-0.5
186,Tyler Wells,BAL,7,7,0,23,23,103.2,6.60,2.43,1.39,.246,72.7%,36.6%,11.0%,93.7,4.25,3.78,4.52,4.60,0.9
82,Nick Lodolo,CIN,4,7,0,19,19,103.1,11.41,3.40,1.13,.322,80.1%,46.0%,15.1%,94.5,3.66,3.97,3.90,3.49,1.8
159,Adrian Houser,MIL,6,10,0,22,21,102.2,6.05,4.12,0.70,.289,61.1%,46.7%,8.0%,94.4,4.73,4.94,4.21,4.64,1.0
274,Chris Archer,MIN,2,8,0,25,25,102.2,7.36,4.21,1.05,.259,67.7%,43.7%,10.8%,93.2,4.56,4.81,4.49,4.57,0.5
124,Luis Severino,NYY,7,3,0,19,19,102.0,9.88,2.65,1.24,.237,79.9%,44.3%,13.9%,96.3,3.18,2.94,3.70,3.38,1.4
169,Austin Voth,- - -,5,4,0,41,17,101.2,7.97,2.74,1.24,.319,74.2%,34.5%,10.3%,93.6,4.34,4.40,4.14,4.33,1.0
645,Tyler Alexander,DET,4,11,0,27,17,101.0,5.44,2.23,1.60,.280,69.9%,35.2%,12.6%,90.2,4.81,5.42,4.99,4.77,-0.1
