Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Jacob deGrom,,39.2,39.2,0
Jaime Barria,,12.06666667,12.06666667,0
Jake Bird,,10.375,10.375,0
Jake Brentz,,-5.3,-5.3,0
Jake Cousins,,22.45,22.45,0
Jake Fishman,,11.53333333,11.53333333,0
Jake Hager,,8.35,8.35,0
Jake Lemoine,,8.15,8.15,0
Jake Walsh,,20,20,0
Jake Woodford,,6.1,6.1,0
Jakob Junis,,17.15,17.15,0
Jalen Beeks,,19.25,19.25,0
James Kaprielian,,7.26,7.26,0
James Karinchak,,26.7,26.7,0
James Naile,,5.2,5.2,0
James Norwood,,16.3,16.3,0
Jameson Taillon,,16.45,16.45,0
Jandel Gustave,,15.525,15.525,0
Janson Junk,,20,20,0
Jared Koenig,,3.1,3.1,0
Jared Solomon,,25.33333333,25.33333333,0
Jarlin Garcia,,12.35,12.35,0
Jason Adam,,24.16666667,24.16666667,0
Jason Alexander,,7.425,7.425,0
Jason Foley,,11.38333333,11.38333333,0
Javier Assad,,2.35,2.35,0
Jay Jackson,,20,20,0
Jeff Brigham,,17.66666667,17.66666667,0
Jeff Hoffman,,11.3,11.3,0
Jeffrey Springs,,20.6,20.6,0
Jerad Eickhoff,,11.1,11.1,0
Jeremiah Estrada,,22,22,0
Jeremy Beasley,,21.15,21.15,0
Jermaine Palacios,,33.3,33.3,0
Jesus Cruz,,13.95,13.95,0
Jesus Luzardo,,20.55,20.55,0
Jesus Tinoco,,13.75,13.75,0
Jhoan Duran,,27.56666667,27.56666667,0
Jhon Romero,,20.8,20.8,0
Jhonathan Diaz,,1.85,1.85,0
Jhoulys Chacin,,5.8,5.8,0
Jimmy Herget,,18.16,18.16,0
Jimmy Lambert,,10.32,10.32,0
Joan Adon,,6.325,6.325,0
Joe Barlow,,8.883333333,8.883333333,0
Joe Jimenez,,27.25,27.25,0
Joe Kelly,,18.2,18.2,0
Joe Mantiply,,22.03333333,22.03333333,0
Joe Musgrove,,19.16666667,19.16666667,0
Joe Ryan,,16.65,16.65,0
Joe Smith,,14.24,14.24,0
Joel Kuhnel,,17.24,17.24,0
Joely Rodriguez,,13.46666667,13.46666667,0
Joey Krehbiel,,13.96666667,13.96666667,0
Joey Wentz,,10.35,10.35,0
John Brebbia,,12.91666667,12.91666667,0
John King,,6.95,6.95,0
John Means,,14.7,14.7,0
John Schreiber,,20.58333333,20.58333333,0
Johnny Cueto,,10.38,10.38,0
Jon Gray,,17.31666667,17.31666667,0
Jon Heasley,,5,5,0
Jonathan Hernandez,,8.766666667,8.766666667,0
Jonathan Loaisiga,,9.44,9.44,0
Jordan Hicks,,11.36,11.36,0
Jordan Holloway,,9.1,9.1,0
Jordan Lyles,,11.7,11.7,0
Jordan Romano,,19.41666667,19.41666667,0
Jordan Sheffield,,-12.5,-12.5,0
Jordan Weems,,24.6,24.6,0
Jorge Alcala,,0,0,0
Jose Alvarado,,26.06666667,26.06666667,0
Jose Alvarez,,13.1,13.1,0
Jose Berrios,,13.56666667,13.56666667,0
Jose Butto,,13,13,0
Jose Castillo,,0,0,0
Jose Cisnero,,0.766666667,0.766666667,0
Jose Cuas,,10.94,10.94,0
Jose Leclerc,,14.575,14.575,0
Jose Marte,,11.1,11.1,0
Jose Quijada,,11.98333333,11.98333333,0
Jose Ruiz,,14.68333333,14.68333333,0
Jose Suarez,,12.28333333,12.28333333,0
Jose Urquidy,,14,14,0
Josh Fleming,,8.025,8.025,0
Josh Harrison,,0,0,0
Josh Rogers,,-6.1,-6.1,0
Josh Sborz,,18.72,18.72,0
Josh Staumont,,5.32,5.32,0
Josh VanMeter,,-8.35,-8.35,0
Josh Winckowski,,5.7,5.7,0
Josh Winder,,7.26,7.26,0
Josiah Gray,,14.2,14.2,0
Jovani Moran,,24.86,24.86,0
Juan Minaya,,14.8,14.8,0
Julian Merryweather,,12.35,12.35,0
Julio Urias,,17.9,17.9,0
Justin Bruihl,,6.575,6.575,0
Justin Dunn,,-1.85,-1.85,0
Justin Grimm,,10.35,10.35,0
Justin Lawrence,,12.74,12.74,0
Justin Steele,,14.58,14.58,0
Justin Topa,,0,0,0
Justin Verlander,,24.38333333,24.38333333,0
Justin Wilson,,53.8,53.8,0
Justus Sheffield,,4.766666667,4.766666667,0
Kaleb Ort,,8.6,8.6,0
Keegan Akin,,17.16666667,17.16666667,0
Keegan Thompson,,14.58333333,14.58333333,0
Ken Giles,,8.35,8.35,0
Ken Waldichuk,,15.8,15.8,0
Kendall Graveman,,14.15,14.15,0
Kenley Jansen,,23.93333333,23.93333333,0
Kenny Rosenberg,,6.6,6.6,0
Kevin Gausman,,24.78333333,24.78333333,0
Kevin Ginkel,,15.4,15.4,0
Kevin Herget,,13.3,13.3,0
Kevin Plawecki,,0,0,0
Keynan Middleton,,18.5,18.5,0
Kirby Snead,,1.583333333,1.583333333,0
Kirby Yates,,6.25,6.25,0
Kirk McCarty,,9.42,9.42,0
Kodi Whitley,,-3.266666667,-3.266666667,0
Kody Clemens,,-1.9,-1.9,0
Kohei Arihara,,-0.25,-0.25,0
Kolby Allard,,12.86,12.86,0
Konnor Pilkington,,9.02,9.02,0
Kris Bubic,,6.116666667,6.116666667,0
Kutter Crawford,,13.22,13.22,0
Kyle Barraclough,,13.5,13.5,0
Kyle Bradish,,15.18333333,15.18333333,0
Kyle Crick,,20.1,20.1,0
Kyle Dowdy,,0,0,0
Kyle Finnegan,,17.65,17.65,0
Kyle Freeland,,10.35,10.35,0
Kyle Gibson,,13.26666667,13.26666667,0
Kyle Hendricks,,12.675,12.675,0
Kyle Muller,,6.533333333,6.533333333,0
Kyle Nelson,,11.35,11.35,0
Kyle Tyler,,7.1,7.1,0
Kyle Wright,,17.03333333,17.03333333,0
Lance Lynn,,20.45,20.45,0
Lance McCullers Jr.,,12,12,0
Liam Hendriks,,28.66666667,28.66666667,0
Locke St. John,,44.4,44.4,0
Logan Gilbert,,16.4,16.4,0
Logan Gillaspie,,11.3,11.3,0
Logan Webb,,14.93333333,14.93333333,0
Louie Varland,,14.2,14.2,0
Lucas Gilbreath,,10.2,10.2,0
Lucas Giolito,,17.65,17.65,0
Lucas Luetge,,16.7,16.7,0
Lucas Sims,,-1.7,-1.7,0
Luis Castillo (DET),,35.55,35.55,0
Luis Cessa,,4.4,4.4,0
Luis Frias,,-6.35,-6.35,0
Luis Garcia (SDP),,20.1,20.1,0
Luis Gil,,15.8,15.8,0
Luis Gonzalez,,-1.666666667,-1.666666667,0
Luis Ortiz (SFG),,9.1,9.1,0
Luis Patino,,-0.6,-0.6,0
Luis Perdomo,,8.4,8.4,0
Luis Severino,,18.1,18.1,0
Luis Torrens,,0,0,0
Luke Barker,,15.8,15.8,0
MacKenzie Gore,,10.525,10.525,0
Madison Bumgarner,,8.75,8.75,0
Manuel Rodriguez,,0.25,0.25,0
Marco Gonzales,,7.416666667,7.416666667,0
Marcos Diplan,,6.5,6.5,0
Marcus Stroman,,16.38333333,16.38333333,0
Mark Appel,,6.033333333,6.033333333,0
Mark Leiter,,19.15,19.15,0
Mark Melancon,,5.766666667,5.766666667,0
Martin Perez,,12.33333333,12.33333333,0
Marwin Gonzalez,,0,0,0
Mason Thompson,,11.025,11.025,0
Matt Barnes,,6.95,6.95,0
Matt Batten,,12.5,12.5,0
Matt Brash,,12.6,12.6,0
Matt Dermody,,-14.3,-14.3,0
Matt Foster,,13.03333333,13.03333333,0
Matt Gage,,17.5,17.5,0
Matt Koch,,10.5,10.5,0
Matt Manning,,11.36666667,11.36666667,0
Matt Moore,,14.61666667,14.61666667,0
Matt Reynolds,,0,0,0
Matt Strahm,,20.43333333,20.43333333,0
Matt Swarmer,,7.333333333,7.333333333,0
Matt Wisler,,13.14,13.14,0
Matthew Boyd,,9.4,9.4,0
Matthew Festa,,22.61666667,22.61666667,0
Matthew Liberatore,,8.28,8.28,0
Mauricio Llovera,,17.25,17.25,0
Max Fried,,19.21666667,19.21666667,0
Max Kranick,,5.3,5.3,0
Max Meyer,,15.4,15.4,0
Max Scherzer,,26.58,26.58,0
Max Schrock,,0,0,0
Merrill Kelly,,14.15,14.15,0
Michael A. Taylor,,0,0,0
Michael Feliz,,15.4,15.4,0
Michael Grove,,3.5,3.5,0
Michael Kelly,,18.75,18.75,0
Michael King,,24.775,24.775,0
Michael Kopech,,10.23333333,10.23333333,0
Michael Lorenzen,,9.26,9.26,0
Michael Pineda,,8.325,8.325,0
Michael Plassmeyer,,22.5,22.5,0
Michael Rucker,,14.1,14.1,0
Michael Wacha,,13.72,13.72,0
Michel Baez,,25,25,0
Miguel Castro,,10.1,10.1,0
Miguel Diaz,,7.1,7.1,0
Miguel Sanchez,,2.8,2.8,0
Miguel Yajure,,-3.98,-3.98,0
Mike Baumann,,11.45,11.45,0
Mike Brosseau,,-10,-10,0
Mike Clevinger,,13.02,13.02,0
Mike Ford,,-20,-20,0
Mike Mayers,,10.325,10.325,0
Mike Minor,,7.025,7.025,0
Miles Mikolas,,14.36666667,14.36666667,0
Mitch Keller,,11.21666667,11.21666667,0
Nabil Crismatt,,15.31666667,15.31666667,0
Nash Walters,,-33.3,-33.3,0
