Name,Team,Type,CSW%,F-Strike%,RE24,WAR,K-BB%,CSW%Diff,F-Strike%Diff,RE24Diff
Chris Ellis,BAL,Reliever,20.5,56.0,-2.77,-0.1,-16.0,-0.0,-0.0,-0.0
Chris Flexen,SEA,Starter,22.71666666666667,58.7,0.4299999999999999,0.1333333333333333,7.666666666666667,-0.0,-0.0,-0.0
Chris Martin,LAD,Reliever,31.35,84.6,5.195,0.6,35.7,-0.0,-0.0,-0.0
Chris Martin,CHC,Reliever,26.675,72.0,0.2475,0.125,25.9,-4.675000000000001,-12.599999999999994,-4.947500000000001
Chris Mazza,TBR,Reliever,20.7,57.1,-9.28,-0.5,-2.9,-0.0,-0.0,-0.0
Chris Owings,BAL,Reliever,20.0,80.0,-0.52,0.0,0.0,-0.0,-0.0,-0.0
Chris Paddack,MIN,Reliever,26.65,67.2,0.2749999999999999,0.4499999999999999,19.1,-0.0,-0.0,-0.0
Chris Sale,BOS,Reliever,32.4,60.0,-0.61,0.2,16.0,-0.0,-0.0,-0.0
Chris Stratton,PIT,Reliever,28.2,63.925,-2.565,0.1,13.2,-0.0,-0.0,-0.0
Chris Stratton,STL,Reliever,26.05,55.35,1.965,0.1,11.3,-2.1499999999999986,-8.574999999999996,4.53
Christian Bethancourt,TBR,Reliever,30.95,85.0,0.2049999999999999,0.0,5.0,-0.0,-0.0,-0.0
Christian Bethancourt,OAK,Reliever,8.3,50.0,0.53,0.0,-25.0,-22.65,-35.0,0.3250000000000001
Cionel Perez,BAL,Reliever,28.05,60.866666666666674,2.231666666666667,0.1333333333333333,14.516666666666666,-0.0,-0.0,-0.0
Clarke Schmidt,NYY,Reliever,29.53333333333333,56.13333333333333,0.7583333333333333,0.0333333333333333,13.2,-0.0,-0.0,-0.0
Clay Holmes,NYY,Reliever,30.366666666666664,54.6,1.3416666666666668,0.1833333333333333,16.933333333333334,-0.0,-0.0,-0.0
Clayton Kershaw,LAD,Starter,29.516666666666666,66.36666666666666,4.376666666666667,0.6666666666666666,19.98333333333333,-0.0,-0.0,-0.0
